"ID","Red","Green","Blue","NGRDI","BGI","GLI","BI","SI","VARI","objArea","objNumCell","naNumCell"
40,95.1272261798753,132.618878005343,74.141696349065,0.181973753867295,0.533550919798752,0.243442702770291,103.909395836445,0.143385121429994,0.259110053187634,0.536230153993076,8984,16754
400,92.7484220018034,117.473399458972,65.2581905620679,0.12934045846927,0.528510584883682,0.215332824566568,94.6081898573524,0.201949569387036,0.180438274105241,0.198555741227023,3327,16756
401,88.7081698180521,115.97199429183,64.6639315019622,0.141219572676228,0.54225155609934,0.215632003652409,92.4245420628713,0.169184340071197,0.201790453616112,0.334566722368107,5606,16756
402,95.1032410779315,121.268754552076,71.7476329206118,0.134692849088183,0.567765819514404,0.203801884079833,98.4584951671761,0.158095499117495,0.193896743927784,0.327763189305323,5492,16756
403,88.5828825347759,114.687789799073,67.0593122102009,0.141733303353574,0.558366954591221,0.21134713888231,92.5041024450514,0.160696788159166,0.203342129538709,0.308941148382476,5176,16754
404,99.3129973474801,126.374889478338,73.2055702917772,0.134497562708958,0.548131603747857,0.211515774290873,102.361094917606,0.179990104851963,0.190099845915765,0.270057306590258,4524,16752
405,77.7534860557769,111.634711155378,58.8778635458167,0.196604236638989,0.499648091390744,0.264915183604869,85.9680372358054,0.162857071689127,0.274039126794413,0.479465138490926,8032,16752
406,83.6819937694704,121.501183800623,64.8234267912773,0.210884828376283,0.498627350625371,0.274613373476639,93.5715415662368,0.15673814303213,0.292478979593196,0.479018683220916,8025,16753
407,75.1650762312164,118.644839311177,55.1126467039596,0.258453157798572,0.422540261219877,0.334878336474032,87.780393736054,0.206249658210384,0.339700281728051,0.544266013969315,9117,16751
408,87.8230967267378,122.93269584406,67.1668505578031,0.189212979144223,0.513471544916308,0.256369261385022,95.935397324212,0.162500112770009,0.263947048797567,0.486956002626709,8157,16751
409,83.0633526011561,120.172947976879,79.3313294797688,0.201626500762125,0.643723813530216,0.211310800823302,96.4512690472505,0.02245374843781,0.322176605289907,0.258239789825651,4325,16748
41,91.6615943040625,128.633114616781,67.305458606729,0.188399562535402,0.495781875882019,0.262468945537111,99.6231031510189,0.17790557520743,0.259373903337249,0.427488660778229,7163,16756
410,83.531098546042,119.49071082391,78.2380856219709,0.191503697492043,0.642627208227776,0.205880799545678,95.8961854120488,0.0314714755727173,0.305492289387891,0.295447765646441,4952,16761
411,75.4778721502012,106.079123826553,62.9278050961109,0.190474895739616,0.562895316738819,0.237255010633478,83.8931801377879,0.109435326940358,0.277922833854732,0.266961035861328,4474,16759
412,78.3666421748714,111.462711241734,65.7751653196179,0.196589476984445,0.55727601431939,0.243166573788989,87.8005280429333,0.111497321015439,0.28607504955075,0.324976122254059,5444,16752
413,80.0259861656384,109.779584969153,67.7696765750608,0.17788194593794,0.586912658701099,0.221212538933408,88.0465179362939,0.100927405515225,0.264151306596787,0.31920988243719,5349,16757
414,81.4859570450791,109.982062780269,66.844937455747,0.161165855954682,0.587514393421754,0.210405537113369,88.213711649584,0.110298026833787,0.240800756562353,0.252804295942721,4237,16760
415,91.5467004005903,120.636095298334,67.3915243516762,0.149105946201761,0.534369717023168,0.224541935007273,96.042906898827,0.176088527125391,0.210457332292766,0.283282565848414,4743,16743
416,89.2081447963801,117.105739461777,64.4946415813289,0.146627590933,0.524087948542754,0.226990316857998,93.1320761931278,0.189026751681229,0.205445507508881,0.25064167611771,4199,16753
417,100.007492641156,123.482204977254,70.2609044688253,0.11397652958697,0.543530320364302,0.200274566862577,100.61908638719,0.199153858781914,0.160689383830528,0.223037899134587,3737,16755
418,86.2747544465092,113.306344571277,62.8189540748606,0.143343452131574,0.536855184330984,0.219125688988089,90.103980574184,0.173388543846499,0.203857748353818,0.225002986501015,3767,16742
419,97.4944735311228,120.632053519488,71.0104712041885,0.11446384687249,0.568363619639921,0.191340011725729,98.7586312412344,0.174425674672403,0.164698107365503,0.205216976063989,3438,16753
42,90.757073449557,124.749071163189,69.4475564446985,0.181379078807669,0.522766386311289,0.248400863393754,98.1548981251064,0.161154849483658,0.25403157166244,0.417641441871568,6998,16756
420,89.9259957577186,116.961112420457,67.6398774452039,0.143125965138085,0.549156271686547,0.215480186099879,94.0626655077459,0.166992002759222,0.204400366739012,0.253252954518324,4243,16754
421,80.1663109213803,108.323016720028,60.062611170402,0.163044396959417,0.529692971556543,0.233931192053457,85.4958184198272,0.165232878844276,0.230752572589291,0.335601719197708,5622,16752
422,86.4459662602305,113.511942542175,63.5354935694004,0.149446238628623,0.533977802228683,0.225090531863792,90.5235006224268,0.177214033804487,0.210362151346249,0.35736882946338,5987,16753
423,90.3844313063063,118.011261261261,64.055320945946,0.144858487381415,0.519674347847579,0.227542472551908,93.7929953074637,0.194033556377173,0.201638443983958,0.424094083935287,7104,16751
424,81.6282601518653,109.182238362496,62.5264113568835,0.16230506822468,0.540630235811014,0.230323437520921,86.9593088016892,0.16153356266392,0.230233283449953,0.36160687638035,6058,16753
425,80.839508170199,108.552823167772,63.2446206115515,0.157915890678064,0.562953402545846,0.217806142713296,86.5012488438299,0.135669951679012,0.230352469077545,0.368970869149952,6181,16752
426,83.7802446760308,115.564718320495,65.3526657604591,0.180731449354579,0.53678074121501,0.241887625125004,91.0574750610789,0.143863575803971,0.256907916843092,0.395236389684814,6621,16752
427,80.2032506702413,116.159852546917,64.9762064343164,0.204091330474918,0.531232632449149,0.256994176000212,90.1325885040334,0.125735946566371,0.291828103755976,0.356192181438377,5968,16755
428,89.250935790383,119.958105384394,71.2346674344947,0.163652907814517,0.567624188914798,0.220155713194824,95.9971194639085,0.130055988973952,0.238465914762584,0.414562817069531,6946,16755
429,85.1943334544134,117.072405860274,69.4448480445574,0.175200605779727,0.568524333489437,0.226042476684818,93.0757138400411,0.116492528517674,0.25666242044631,0.492898066364287,8259,16756
43,89.5779969110134,124.977901865273,67.9420220981347,0.1927052897654,0.503232694503808,0.263415192156618,97.6253529813884,0.176080624070629,0.265105681529874,0.502357505222322,8417,16755
430,82.1677454153182,112.861650485437,62.6987594390507,0.177430599051929,0.524158413951056,0.24494110619516,88.7570103226241,0.160445663856645,0.250061986681776,0.442614145031334,7416,16755
431,77.4654982363316,109.483134920635,59.1719576719577,0.19623331074824,0.499423411473094,0.266564749545728,85.0872968049678,0.175600485963737,0.270895283760542,0.541385689562571,9072,16757
