"objArea","objNumCell","naNumCell"
0.252881995388807,4826,19084
0.463478580042997,8839,19071
0.495337384744342,9455,19088
0.544496302899995,10383,19069
0.617829050865233,11782,19070
0.555398322851153,10597,19080
0.548939512961508,10482,19095
0.49674882013634,9473,19070
0.512690089145254,9777,19070
0.53526514357577,10215,19084
0.533763237915487,10181,19074
0.591004403438876,11274,19076
0.667051053569557,12726,19078
0.59586062352633,11372,19085
0.627601027307511,11974,19079
0.547913608723003,10452,19076
0.52306563220801,9978,19076
0.618288590604027,11792,19072
0.617437349271259,11777,19074
0.538642913282683,10280,19085
0.643444986108927,12275,19077
0.598050007862872,11409,19077
0.673219059600566,12843,19077
0.531110761650155,10132,19077
0.282066072364971,5379,19070
0.581792467654916,11107,19091
0.497327044025157,9489,19080
0.600713012477718,11458,19074
0.589123708637055,11234,19069
0.530025151959757,10115,19084
0.568746722600944,10846,19070
0.463456803059674,8846,19087
0.560033541219014,10686,19081
0.360281010800042,6872,19074
0.66790770844258,12737,19070
0.642111885912022,12247,19073
0.689835928080935,13160,19077
0.617602348377628,11782,19077
0.575687712863505,10987,19085
0.685482180293501,13079,19080
0.545526026104733,10407,19077
0.588614562038056,11229,19077
0.659537663154584,12582,19077
0.617122784942854,11771,19074
0.619496855345912,11820,19080
0.629934469200524,12016,19075
0.559888871415841,10681,19077
0.551187293599623,10515,19077
0.301436661073825,5749,19072
0.4529448752882,8644,19084
0.562421383647799,10731,19080
0.553383301011583,10558,19079
0.448199968558403,8553,19083
0.445394012478373,8495,19073
0.454221289984268,8662,19070
0.579615162795575,11055,19073
0.572393569670629,10931,19097
0.603564875491481,11513,19075
0.527163083377032,10053,19070
0.628432194508489,11993,19084
0.647549148099607,12352,19075
0.612779787178278,11690,19077
0.713476961786444,13611,19077
0.655784950744079,12515,19084
0.554536401278893,10580,19079
0.418409603187084,7982,19077
0.621239123597861,11852,19078
0.559865799958063,10680,19076
0.62244470070238,11875,19078
0.391363588722356,7468,19082
0.634037644838253,12093,19073
0.616933158584535,11768,19075
0.389520565889442,7434,19085
0.53098783557047,10127,19072
0.448371702763648,8550,19069
0.35968130831324,6862,19078
