date,plot,Red,Green,Blue,NGRDI,BGI,GLI,BI,SI,VARI,objArea,objNumCell,naNumCell
2023-06-09,0101,108.328752642706,130.847251585624,91.2737843551797,0.107882056199313,0.66562389289325,0.155071314550626,111.812182686268,0.103329819239994,0.165602700102144,0.106226489248217,1892,17811
2023-06-09,0102,92.5246406570842,119.232546201232,74.1658110882957,0.135031660796221,0.609366526678075,0.187697063308829,97.3670333758339,0.115877886253464,0.203192932710356,0.109321510746955,1948,17819
2023-06-09,0103,93.9568193786203,119.723012111638,74.9262769878884,0.13073156056255,0.612646978493769,0.184145620593543,98.2236681375851,0.117206625022521,0.196777687076868,0.106517837110164,1899,17828
2023-06-09,0104,96.4009635974304,121.410599571734,75.029443254818,0.124017092120391,0.602738035704266,0.184010392720018,99.7270077818443,0.132737631669219,0.184560890221773,0.104873119245453,1868,17812
2023-06-09,0105,89.2060580204778,118.727815699659,71.3455631399317,0.152358604101642,0.5843365139521,0.206701988193834,95.4520022333046,0.121446534473907,0.225323905880792,0.13158190187493,2344,17814
2023-06-09,0106,86.7199170124481,116.266390041494,70.4058091286307,0.158011361180483,0.590172341032786,0.207380274056328,93.4247511377671,0.109577045421826,0.235761559976347,0.135271665918276,2410,17816
2023-06-09,0107,94.4171479342514,122.094624611284,74.1572634384718,0.135584330805603,0.596544171876728,0.192469949970845,99.1246112723768,0.125486838331842,0.201939912720904,0.126418061327642,2251,17806
2023-06-09,0108,102.384536610343,128.540706605223,79.4639016897081,0.123786087771209,0.603521359095682,0.183612690905045,105.689137588479,0.132055923255016,0.184052390887673,0.109540636042403,1953,17829
2023-06-09,0109,103.784971644612,129.794423440454,81.2471644612476,0.120769571429317,0.61186833576569,0.179138463061426,107.0915562175,0.128571804397077,0.180440467173839,0.11869635945476,2116,17827
2023-06-09,0110,106.814374646293,129.940577249576,82.708545557442,0.104835358653707,0.625417576781714,0.165297904301121,108.472280458013,0.132523570671497,0.157784104812481,0.0992473601437879,1767,17804
2023-06-09,0111,113.818604651163,134.850581395349,86.6959302325581,0.0909360870469547,0.633653656433037,0.154827027384327,113.736064699107,0.139579178155569,0.13626078399496,0.0965532727068598,1720,17814
2023-06-09,0112,114.784462616822,135.667640186916,88.0309579439252,0.0910563248079576,0.636516596261158,0.15399589264131,114.743220022757,0.137577450679923,0.136770506656076,0.0961041877175255,1712,17814
2023-06-09,0113,119.171657754011,138.179679144385,96.068449197861,0.0846042565633059,0.667201300183392,0.141449793460792,119.491737304299,0.124258889370793,0.128252427051337,0.104985403099034,1870,17812
2023-06-09,0114,102.83371559633,124.557912844037,77.980504587156,0.104573205412286,0.614079908374234,0.168929656125265,103.78511266283,0.141419536978417,0.155846696762829,0.0978620728354189,1744,17821
2023-06-09,0115,100.094674556213,124.471221086606,76.7348036578806,0.11967923878921,0.601646818536999,0.181994640820758,102.600785357161,0.137827368590501,0.177194012957166,0.104303428154632,1859,17823
2023-06-09,0116,98.2069597069597,123.248168498168,75.1877289377289,0.121920937926789,0.596505340194828,0.184939964687439,101.066093774792,0.139470374895134,0.180427210700234,0.122593320235756,2184,17815
2023-06-09,0117,108.331654072208,126.190596137699,79.5860621326616,0.0805505983734077,0.621720449448057,0.152525014970144,106.616529685749,0.158311995969146,0.119935083371464,0.0668612810868467,1191,17813
2023-06-09,0118,113.293225480283,130.130434782609,79.3387259858443,0.0742152227398596,0.600722513108322,0.155922350105391,109.811501279124,0.181350310721593,0.108121083353226,0.0555274830161136,989,17811
2023-06-09,0119,102.617424242424,126.175865800866,71.3630952380952,0.108525190172531,0.555282867632277,0.191631376747391,102.754026238022,0.187320844483526,0.154941850740743,0.103715344034123,1848,17818
2023-06-09,0120,105.220539828835,127.107307439105,70.5845951283739,0.0991773283703814,0.545842113009704,0.18951498075077,103.827925779793,0.204665069422497,0.139961172889317,0.0852317360565593,1519,17822
2023-06-09,0121,94.5887335874629,120.167725540025,64.3341804320203,0.12460605714497,0.526447177261868,0.211349389936513,96.0024257404659,0.19749832215479,0.17496280873319,0.132506454147491,2361,17818
2023-06-09,0122,97.5751320211234,120.712914066251,65.147383581373,0.111246723923904,0.531631968808118,0.201553965619787,97.3938013005517,0.205279234023133,0.15609555113697,0.116937068433167,2083,17813
2023-06-09,0123,90.4212180746562,118.264833005894,61.083300589391,0.14140105882918,0.504179597293317,0.229835289755631,93.1704899441381,0.204402096037432,0.195767782753508,0.142865162231952,2545,17814
2023-06-09,0124,99.1012891344383,124.910497237569,71.4088397790055,0.128289169649083,0.541992075137347,0.210567729791629,101.485524093271,0.189982155787774,0.178662330510957,0.152374003816365,2715,17818
2023-06-09,0201,105.413866666667,129.219733333333,86.0250666666667,0.114069418682794,0.643590210400243,0.165340102877086,108.740461312984,0.112377102929925,0.173015151924857,0.105159842961301,1875,17830
2023-06-09,0202,113.116428571429,132.002142857143,87.1892857142857,0.0834323135044442,0.651937247999211,0.144381563868869,112.487533861486,0.13239997979198,0.126753188888482,0.0785457809694794,1400,17824
2023-06-09,0203,104.256027554535,127.975315729047,83.9466130884041,0.110052128812652,0.645282326218156,0.161376845340695,107.157177398957,0.11122814809681,0.16878890207431,0.0978431813075713,1742,17804
2023-06-09,0204,102.096855983773,126.963488843813,82.2261663286004,0.117616735940069,0.633931817804013,0.169586355881455,105.629446794027,0.113285843298657,0.179122209325988,0.110699449870888,1972,17814
2023-06-09,0205,98.4480818414322,122.206649616368,80.3549872122762,0.115117515448423,0.645809989590851,0.16379426487249,102.011870362439,0.105548518676007,0.17797226821873,0.109732824427481,1955,17816
